Country,year,Value
World,1959,172.4604545
World,1960,158.6016667
World,1961,158.9383333
World,1962,159.355
World,1963,159.5804167
World,1964,159.9058333
World,1965,160.0833333
World,1966,160.8920833
World,1967,161.2166667
World,1968,161.6595833
World,1969,162.555
World,1970,163.00375
World,1971,163.2566667
World,1972,163.9029167
World,1973,165.1779167
World,1974,165.17375
World,1975,165.7070833
World,1976,166.14875
World,1977,167.1966667
World,1978,167.9425
World,1979,168.6295833
World,1980,169.6670833
World,1981,170.2604167
World,1982,170.9391667
World,1983,171.8216667
World,1984,172.6833333
World,1985,173.39125
World,1986,173.98625
World,1987,174.90125
World,1988,176.1854167
World,1989,176.8175
World,1990,177.4033333
World,1991,178.0283333
World,1992,178.3916667
World,1993,178.70125
World,1994,179.72375
World,1995,180.7645833
World,1996,181.6179167
World,1997,182.095
World,1998,183.8275
World,1999,184.5016667
World,2000,185.0125
World,2001,185.8770833
World,2002,187.01375
World,2003,188.3316667
World,2004,189.07625
World,2005,190.2945833
World,2006,191.3229167
World,2007,192.2654167
World,2008,193.1516667
World,2009,194.055
World,2010,195.3683333
World,2011,196.15
World,2012,197.3095833
World,2013,198.70875
World,2014,199.6675
World,2015,200.7820833
World,2016,202.6308333
World,2017,203.6691667
World,2018,204.59875
World,2019,206.1833333
World,2020,207.4166667
World,2021,208.4720833
World,2022,209.5183333
World,2023,210.8441667
