Measure,Date,Value
Andaman Sea,12-17-1992,-10.34
Arabian Sea,12-17-1992,-18.46
Atlantic Ocean,12-17-1992,-15.41
Baltic Sea,12-17-1992,196.85
Bay Bengal,12-17-1992,3.27
Caribbean Sea,12-17-1992,-13.58
Gulf Mexico,12-17-1992,-3.95
Indian Ocean,12-17-1992,-27.63
Indonesian,12-17-1992,-3.09
Mediterranean,12-17-1992,39.02
Nino,12-17-1992,-3.13
North Pacific,12-17-1992,19.59
North Sea,12-17-1992,44.01
Pacific Ocean,12-17-1992,-14.88
Persian Gulf,12-17-1992,134.53
Sea Japan,12-17-1992,-46.65
Sea Okhotsk,12-17-1992,-4.39
South China,12-17-1992,-4.6
Southern Ocean,12-17-1992,-24.43
Tropics,12-17-1992,-19.64
World,12-17-1992,-15.95
Yellow Sea,12-17-1992,-70.61
Adriatic Sea,12-18-1992,9.19
Bering Sea,12-18-1992,-5.35
North Atlantic,12-18-1992,-0.23
Andaman Sea,12-26-1992,-2.64
Baltic Sea,12-26-1992,228.05
Bay Bengal,12-26-1992,11.67
Mediterranean,12-26-1992,-12.98
North Sea,12-26-1992,63.31
Persian Gulf,12-26-1992,112.23
Sea Japan,12-26-1992,-23.05
Sea Okhotsk,12-26-1992,-38.09
South China,12-26-1992,-15.9
Arabian Sea,12-27-1992,8.14
Atlantic Ocean,12-27-1992,-10.31
Bering Sea,12-27-1992,-30.85
Caribbean Sea,12-27-1992,-2.48
Gulf Mexico,12-27-1992,-13.75
Indian Ocean,12-27-1992,-10.03
Indonesian,12-27-1992,3.81
Nino,12-27-1992,-8.93
North Atlantic,12-27-1992,-0.53
North Pacific,12-27-1992,-8.31
Pacific Ocean,12-27-1992,-27.18
Southern Ocean,12-27-1992,-16.73
Tropics,12-27-1992,-22.34
World,12-27-1992,-17.65
Yellow Sea,12-27-1992,-44.41
Adriatic Sea,12-28-1992,-51.91
Baltic Sea,01-04-1993,-2.95
South China,01-04-1993,-17.5
Andaman Sea,01-05-1993,-79.04
Arabian Sea,01-05-1993,32.14
Atlantic Ocean,01-05-1993,-12.31
Bay Bengal,01-05-1993,28.57
Bering Sea,01-05-1993,-15.85
Caribbean Sea,01-05-1993,-15.08
Gulf Mexico,01-05-1993,-25.75
Indian Ocean,01-05-1993,5.87
Indonesian,01-05-1993,-7.09
Mediterranean,01-05-1993,-83.58
Nino,01-05-1993,-4.33
North Atlantic,01-05-1993,-16.33
North Pacific,01-05-1993,-16.71
North Sea,01-05-1993,76.81
Pacific Ocean,01-05-1993,-24.28
Sea Japan,01-05-1993,-4.25
Sea Okhotsk,01-05-1993,-41.09
Southern Ocean,01-05-1993,-5.13
Tropics,01-05-1993,-19.54
World,01-05-1993,-14.55
Adriatic Sea,01-06-1993,-79.01
Persian Gulf,01-06-1993,82.33
Yellow Sea,01-06-1993,-37.51
South China,01-14-1993,8
Arabian Sea,01-15-1993,30.34
Baltic Sea,01-15-1993,-2.65
Bay Bengal,01-15-1993,-6.43
Bering Sea,01-15-1993,-40.95
Gulf Mexico,01-15-1993,-18.25
Indian Ocean,01-15-1993,1.87
Indonesian,01-15-1993,-19.09
Mediterranean,01-15-1993,-49.68
Nino,01-15-1993,-7.03
North Pacific,01-15-1993,-43.51
North Sea,01-15-1993,229.71
Pacific Ocean,01-15-1993,-33.18
Persian Gulf,01-15-1993,-52.87
Sea Japan,01-15-1993,1.55
Sea Okhotsk,01-15-1993,-31.49
Southern Ocean,01-15-1993,-10.33
Tropics,01-15-1993,-22.74
World,01-15-1993,-19.55
Yellow Sea,01-15-1993,-58.61
Adriatic Sea,01-16-1993,-52.71
Andaman Sea,01-16-1993,-114.94
Atlantic Ocean,01-16-1993,-9.91
Caribbean Sea,01-16-1993,-7.68
North Atlantic,01-16-1993,-8.43
Arabian Sea,01-24-1993,8.64
Baltic Sea,01-24-1993,379.85
Bay Bengal,01-24-1993,-30.23
Bering Sea,01-24-1993,-57.35
South China,01-24-1993,12.3
Andaman Sea,01-25-1993,-105.74
Atlantic Ocean,01-25-1993,-19.11
Caribbean Sea,01-25-1993,-13.98
Gulf Mexico,01-25-1993,-28.65
Indian Ocean,01-25-1993,-8.43
Indonesian,01-25-1993,-8.39
Mediterranean,01-25-1993,-90.98
Nino,01-25-1993,-11.83
